,Fumador,Edad,Escolaridad,Ingreso,Pcigs79
66,0,44,6.0,8500,62.1
67,0,39,12.0,20000,62.1
68,1,27,12.0,500,62.1
69,0,30,16.0,6500,62.1
70,0,28,13.5,12500,62.1
71,0,19,12.0,12500,62.1
72,0,43,12.0,20000,62.1
73,0,30,13.5,20000,62.1
74,1,43,13.5,20000,62.1
75,0,82,10.0,12500,62.1
76,0,63,12.0,20000,62.1
77,0,18,10.0,30000,62.1
78,1,50,10.0,20000,62.1
79,0,68,12.0,8500,62.1
80,0,75,8.0,8500,62.1
81,1,41,13.5,30000,62.1
82,1,25,12.0,30000,62.1
83,1,27,16.0,30000,62.1
84,0,52,12.0,30000,62.1
85,1,48,10.0,20000,62.1
86,1,68,16.0,30000,62.1
87,1,19,8.0,12500,62.1
88,1,54,12.0,30000,62.1
89,1,51,16.0,12500,62.1
90,0,24,12.0,30000,62.1
91,0,43,2.5,30000,62.1
92,1,58,6.0,4500,62.1
93,0,39,12.0,20000,62.1
94,1,54,6.0,4500,62.1
95,0,33,12.0,12500,62.1
96,0,44,0.0,5500,62.1
97,0,28,12.0,30000,62.1
98,1,54,13.5,20000,62.1
99,0,25,16.0,20000,62.1
100,0,27,15.0,20000,62.1
101,1,21,10.0,30000,62.1
102,0,28,18.0,20000,62.1
103,0,41,10.0,20000,62.1
104,0,62,16.0,20000,62.1
105,1,53,10.0,30000,62.1
106,0,26,15.0,20000,62.1
107,0,53,16.0,20000,62.1
108,0,35,6.0,12500,62.1
109,1,68,12.0,2500,62.1
110,0,38,18.0,30000,62.1
111,0,50,18.0,30000,62.1
112,1,32,10.0,20000,62.1
113,1,26,12.0,12500,62.1
114,0,18,12.0,30000,62.1
115,0,18,10.0,20000,62.1
116,0,45,16.0,30000,62.1
117,0,64,16.0,12500,62.1
118,1,31,13.5,20000,62.1
119,1,42,12.0,30000,62.1
120,1,31,13.5,12500,62.1
121,0,65,12.0,12500,62.1
122,0,53,15.0,30000,62.1
123,1,25,13.5,30000,62.1
124,0,64,18.0,30000,62.1
125,0,51,12.0,20000,62.1
126,1,27,13.5,20000,62.1
127,1,25,12.0,6500,62.1
128,0,31,13.5,20000,62.1
129,0,37,18.0,30000,62.1
130,0,57,12.0,12500,62.1
131,1,41,12.0,20000,62.1
132,1,32,12.0,30000,62.1
133,0,36,16.0,30000,62.1
134,0,60,13.5,30000,62.1
135,1,26,10.0,6500,62.1
136,1,35,6.0,12500,62.1
137,0,30,2.5,12500,62.1
138,1,48,13.5,20000,62.1
139,0,44,8.0,20000,62.1
140,0,71,8.0,12500,62.1
141,0,74,6.0,4500,62.1
142,0,45,18.0,30000,62.1
143,0,26,12.0,30000,62.1
144,0,17,10.0,30000,62.1
145,0,47,16.0,30000,62.1
146,1,26,10.0,30000,62.1
147,0,68,13.5,12500,62.1
148,1,57,0.0,20000,62.1
149,1,28,0.0,5500,62.1
150,0,45,13.5,30000,62.1
151,1,76,12.0,6500,62.1
152,0,24,13.5,6500,62.1
153,0,61,13.5,1500,62.1
154,0,45,18.0,30000,62.1
155,0,73,12.0,12500,62.1
156,0,64,10.0,2500,62.1
157,0,70,2.5,6500,62.1
158,1,36,13.5,8500,62.1
159,0,61,15.0,12500,62.1
160,0,37,13.5,30000,62.1
161,0,63,12.0,20000,62.1
162,0,23,10.0,20000,62.1
163,1,44,15.0,20000,62.1
164,0,27,15.0,12500,62.1
165,0,64,15.0,30000,62.1
166,0,64,15.0,20000,62.1
167,1,53,8.0,12500,62.1
168,0,38,16.0,30000,62.1
169,1,21,12.0,30000,62.1
170,0,21,12.0,12500,62.1
171,1,77,12.0,1500,62.1
172,0,43,12.0,30000,62.1
173,0,69,12.0,8500,62.1
174,0,31,18.0,20000,62.1
175,1,23,12.0,12500,62.1
176,1,66,10.0,20000,62.1
177,0,41,13.5,30000,62.1
178,1,47,10.0,12500,62.1
179,0,31,12.0,8500,62.1
180,0,27,18.0,30000,62.1
181,0,27,16.0,30000,62.1
182,1,35,16.0,30000,62.1
183,0,55,10.0,30000,62.1
184,0,50,13.5,30000,62.1
185,0,21,12.0,30000,62.1
186,1,33,10.0,30000,62.1
187,1,41,12.0,30000,62.1
188,0,52,12.0,30000,62.1
189,0,25,15.0,20000,62.1
190,0,64,6.0,8500,62.1
191,0,52,13.5,30000,62.1
192,0,23,13.5,30000,62.1
193,1,35,12.0,30000,62.1
194,0,77,18.0,12500,62.1
195,1,44,15.0,30000,62.1
196,0,40,16.0,30000,62.1
197,1,21,10.0,30000,62.1
198,0,27,15.0,30000,62.1
199,1,49,13.5,30000,62.1
200,1,62,10.0,12500,62.1
201,1,22,15.0,8500,62.1
202,0,22,15.0,20000,62.1
203,0,29,16.0,30000,62.1
204,1,29,13.5,20000,62.1
205,1,49,8.0,20000,62.1
206,0,26,16.0,6500,62.1
207,0,27,13.5,4500,62.1
208,0,60,18.0,30000,62.1
209,0,65,10.0,3500,62.1
210,0,30,12.0,20000,62.1
211,0,72,13.5,12500,54.6
212,0,51,16.0,30000,54.6
213,1,28,12.0,20000,54.6
214,1,49,16.0,30000,54.6
215,0,30,15.0,8500,54.6
216,1,57,12.0,20000,54.6
217,0,20,13.5,1500,54.6
218,1,34,13.5,12500,54.6
219,0,57,10.0,20000,54.6
220,0,46,18.0,30000,54.6
221,1,23,13.5,20000,54.6
222,0,41,10.0,30000,54.6
223,0,42,10.0,20000,54.6
224,1,35,13.5,12500,54.6
225,0,45,12.0,20000,54.6
226,0,20,13.5,4500,54.6
227,0,34,18.0,20000,54.6
228,1,52,12.0,12500,54.6
229,0,64,13.5,8500,54.6
230,0,19,12.0,30000,54.6
231,1,27,13.5,6500,54.6
232,0,26,16.0,30000,54.6
233,1,49,18.0,30000,54.6
234,0,46,16.0,30000,67.0
235,0,18,12.0,30000,67.0
236,0,53,12.0,30000,67.0
237,1,34,12.0,20000,67.0
238,0,71,12.0,30000,67.0
239,1,53,10.0,20000,67.0
240,1,49,12.0,30000,67.0
241,0,28,10.0,12500,67.0
242,0,42,18.0,30000,67.0
243,0,45,16.0,30000,67.0
244,0,43,6.0,8500,67.0
245,0,18,10.0,5500,67.0
246,1,51,16.0,30000,67.0
247,0,23,16.0,20000,67.0
248,0,37,18.0,30000,67.0
249,0,53,18.0,30000,67.0
250,1,58,16.0,20000,67.0
251,1,17,8.0,30000,67.0
252,1,33,12.0,6500,67.0
253,0,33,18.0,30000,67.0
254,1,22,12.0,12500,62.7
255,1,39,12.0,20000,62.7
256,1,49,8.0,12500,65.6
257,1,23,13.5,30000,65.6
258,1,54,12.0,8500,65.6
259,1,62,10.0,20000,69.8
260,0,36,13.5,30000,69.8
261,0,57,12.0,20000,69.8
262,0,17,2.5,8500,69.8
263,1,35,16.0,20000,69.8
264,0,30,15.0,20000,69.8
265,0,42,12.0,12500,69.8
266,0,50,10.0,30000,69.8
267,1,66,12.0,6500,69.8
268,1,67,10.0,8500,69.8
269,0,82,10.0,20000,69.8
270,0,72,12.0,20000,69.8
271,0,29,16.0,20000,69.8
272,1,46,10.0,20000,69.8
273,0,43,12.0,12500,69.8
274,0,64,6.0,5500,69.8
275,1,66,10.0,12500,69.8
276,1,22,12.0,30000,69.8
277,0,57,12.0,8500,69.8
278,1,23,13.5,20000,69.8
279,0,17,10.0,12500,69.8
280,1,47,2.5,12500,69.8
281,0,22,12.0,4500,69.8
282,0,75,8.0,6500,69.8
283,0,71,8.0,5500,69.8
284,0,31,18.0,30000,69.8
285,0,41,18.0,20000,69.8
286,0,25,12.0,20000,69.8
287,0,73,13.5,30000,69.8
288,0,18,12.0,3500,69.8
289,1,36,10.0,30000,69.8
290,0,54,12.0,8500,69.8
291,0,67,8.0,8500,69.8
292,0,27,10.0,12500,69.8
293,0,32,10.0,20000,69.8
294,0,74,2.5,5500,69.8
295,0,44,6.0,12500,69.8
296,0,26,12.0,20000,69.8
297,0,61,12.0,20000,69.8
298,1,35,12.0,30000,69.8
299,0,19,10.0,12500,69.8
300,1,66,12.0,12500,69.8
301,0,67,10.0,6500,69.8
302,0,43,12.0,20000,69.8
303,0,51,12.0,30000,69.8
304,0,24,12.0,8500,69.8
305,1,33,13.5,20000,59.3
306,0,34,10.0,20000,59.3
307,1,31,10.0,8500,59.3
308,1,36,12.0,8500,59.3
309,0,58,10.0,20000,59.3
310,0,36,10.0,12500,59.3
311,0,30,18.0,8500,59.3
312,1,25,15.0,500,59.3
313,0,32,16.0,30000,59.3
314,0,33,8.0,8500,59.3
315,1,59,6.0,3500,59.3
316,1,41,10.0,12500,59.3
317,0,63,12.0,5500,59.3
318,0,39,16.0,30000,63.5
319,0,39,13.5,8500,63.5
320,0,34,16.0,20000,63.5
321,0,30,12.0,12500,63.5
322,0,52,18.0,30000,63.5
323,1,44,13.5,20000,63.5
324,0,69,8.0,6500,60.0
325,0,27,12.0,20000,60.0
326,0,59,10.0,20000,60.0
327,0,48,6.0,12500,60.0
328,1,38,16.0,30000,60.0
329,0,27,8.0,20000,60.0
330,0,35,16.0,30000,60.0
331,0,33,12.0,30000,60.0
332,0,46,12.0,30000,60.0
333,1,62,10.0,20000,60.0
334,0,67,10.0,4500,60.0
335,1,39,10.0,20000,60.0
336,0,32,13.5,12500,60.0
337,0,49,13.5,20000,60.0
338,0,53,18.0,30000,60.0
339,0,51,18.0,30000,60.0
340,1,32,12.0,20000,60.0
341,0,25,18.0,5500,60.0
342,1,28,15.0,8500,60.0
343,0,45,12.0,30000,60.0
344,0,54,13.5,30000,60.0
345,1,49,12.0,30000,60.0
346,0,25,12.0,20000,60.0
347,1,31,12.0,20000,60.0
348,1,26,13.5,20000,60.0
349,0,27,10.0,8500,60.0
350,0,58,13.5,30000,60.0
351,0,56,6.0,5500,60.0
352,0,66,12.0,12500,60.0
353,0,20,12.0,20000,60.0
354,0,54,8.0,12500,60.0
355,0,40,13.5,30000,60.0
356,1,23,10.0,30000,60.0
357,1,37,0.0,6500,60.0
358,0,23,12.0,30000,60.0
359,1,28,18.0,30000,60.0
360,1,40,8.0,30000,60.0
361,0,59,6.0,3500,60.0
362,0,71,6.0,30000,60.0
363,1,47,12.0,30000,60.0
364,1,58,13.5,20000,60.0
365,1,56,10.0,30000,60.0
366,0,33,18.0,30000,60.0
367,0,25,16.0,30000,60.0
368,1,57,12.0,8500,60.0
369,0,37,18.0,30000,60.0
370,0,36,12.0,30000,60.0
371,0,44,13.5,30000,60.0
372,0,49,15.0,20000,60.0
373,0,23,12.0,6500,60.0
374,0,50,16.0,30000,60.0
375,1,43,8.0,20000,60.0
376,0,78,8.0,30000,60.0
377,0,66,12.0,8500,60.0
378,0,39,12.0,20000,60.0
379,0,48,12.0,30000,60.0
380,0,30,16.0,30000,60.0
381,0,32,16.0,30000,60.0
382,0,65,10.0,20000,60.0
383,1,36,13.5,30000,60.0
384,0,83,10.0,5500,60.0
385,0,61,16.0,30000,60.0
386,0,47,12.0,30000,60.0
387,1,26,16.0,20000,60.0
388,1,29,16.0,20000,60.0
389,0,61,12.0,30000,60.0
390,0,17,10.0,20000,60.0
391,0,26,16.0,30000,60.0
392,0,17,10.0,20000,53.7
393,1,37,18.0,30000,53.7
394,1,48,12.0,30000,53.7
395,0,50,12.0,20000,53.7
396,0,59,12.0,20000,53.7
397,0,48,16.0,30000,53.7
398,0,43,12.0,12500,53.7
399,1,41,13.5,30000,53.7
400,0,64,12.0,8500,53.7
401,0,19,12.0,5500,53.7
402,0,43,18.0,30000,53.7
403,0,64,8.0,20000,53.7
404,0,51,10.0,30000,53.7
405,1,19,8.0,5500,53.7
406,0,34,18.0,30000,53.7
407,0,18,10.0,20000,53.7
408,0,46,10.0,20000,53.7
409,0,38,18.0,30000,53.7
410,1,51,10.0,30000,53.7
411,1,36,13.5,8500,53.7
412,1,22,12.0,3500,53.7
413,1,68,12.0,12500,53.7
414,0,19,13.5,3500,53.7
415,0,39,18.0,20000,53.7
416,1,32,15.0,20000,53.7
417,0,19,12.0,30000,53.7
418,1,65,8.0,20000,53.7
419,0,49,15.0,20000,53.7
420,0,50,12.0,12500,53.7
421,0,62,2.5,4500,53.7
422,0,54,12.0,30000,53.7
423,1,24,12.0,20000,58.8
424,1,59,12.0,30000,58.8
425,0,69,8.0,8500,58.8
426,1,43,12.0,20000,58.8
427,0,71,2.5,3500,58.8
428,0,17,10.0,30000,58.8
429,0,27,16.0,20000,58.8
430,0,69,8.0,8500,58.8
431,0,35,18.0,30000,58.8
432,0,46,12.0,12500,58.3
433,0,20,12.0,30000,58.3
434,0,44,18.0,30000,58.3
435,1,51,13.5,20000,58.3
436,1,37,12.0,30000,58.3
437,0,28,12.0,20000,58.3
438,1,18,12.0,8500,58.3
439,1,40,8.0,12500,58.3
440,1,28,12.0,20000,58.3
441,1,35,12.0,12500,58.3
442,1,21,13.5,30000,46.3
443,0,35,12.0,20000,46.3
444,1,24,13.5,30000,46.3
445,0,37,18.0,30000,46.3
446,0,48,16.0,30000,46.3
447,1,30,12.0,30000,46.3
448,0,25,13.5,20000,46.3
449,1,72,12.0,6500,46.3
450,1,52,10.0,4500,46.3
451,1,18,10.0,30000,46.3
452,1,34,16.0,30000,46.3
453,1,29,10.0,12500,46.3
454,0,47,10.0,30000,46.3
455,1,53,12.0,30000,46.3
456,1,27,13.5,20000,60.0
457,0,55,16.0,30000,60.0
458,1,26,13.5,8500,60.0
459,1,47,6.0,12500,60.0
460,1,25,12.0,12500,60.0
461,1,28,13.5,8500,60.0
462,1,19,12.0,30000,60.0
463,0,21,13.5,6500,60.0
464,1,45,13.5,30000,60.0
465,1,50,6.0,5500,60.0
466,0,32,12.0,20000,60.0
467,0,63,18.0,30000,59.0
468,1,69,8.0,12500,59.0
469,1,37,10.0,20000,58.1
470,0,17,10.0,20000,58.1
471,0,30,18.0,30000,58.1
472,1,29,16.0,20000,58.1
473,0,28,13.5,30000,58.1
474,1,22,12.0,12500,58.1
475,0,36,10.0,30000,58.1
476,0,30,13.5,20000,58.1
477,1,21,12.0,20000,58.1
478,1,52,16.0,20000,58.1
479,0,26,13.5,30000,58.1
480,0,19,12.0,8500,58.1
481,1,63,18.0,30000,58.1
482,0,35,12.0,20000,58.1
483,1,21,10.0,30000,58.1
484,0,22,15.0,8500,58.1
485,0,72,12.0,30000,58.1
486,0,54,18.0,30000,58.1
487,0,37,13.5,30000,58.1
488,0,56,16.0,30000,58.1
489,1,26,15.0,3500,58.1
490,0,18,12.0,30000,58.1
491,1,33,12.0,30000,58.1
492,0,51,13.5,30000,58.1
493,1,31,18.0,12500,58.1
494,1,23,10.0,30000,68.2
495,0,17,10.0,20000,68.2
496,0,33,12.0,30000,68.2
497,0,17,10.0,30000,68.2
498,0,24,10.0,12500,68.2
499,0,23,12.0,6500,68.2
500,0,80,10.0,8500,68.2
501,0,56,10.0,20000,68.2
502,0,57,12.0,6500,68.2
503,0,56,16.0,30000,68.2
504,0,61,12.0,20000,68.2
505,0,52,16.0,30000,68.2
506,1,24,12.0,8500,68.2
507,1,38,12.0,20000,68.2
508,0,52,10.0,20000,68.2
509,0,60,12.0,30000,68.2
510,1,44,12.0,30000,68.2
511,0,46,18.0,30000,68.2
512,0,53,12.0,30000,68.2
513,1,28,12.0,30000,68.2
514,0,29,18.0,20000,68.2
515,0,18,12.0,6500,68.2
516,0,61,15.0,20000,68.2
517,1,38,12.0,20000,68.2
518,0,26,12.0,20000,68.2
519,1,40,16.0,20000,68.2
520,0,29,16.0,20000,68.2
521,1,52,12.0,8500,68.2
522,0,32,12.0,20000,68.2
523,0,23,12.0,8500,68.2
524,0,54,13.5,20000,68.2
525,1,55,13.5,12500,60.3
526,1,22,16.0,8500,60.3
527,0,23,12.0,20000,60.3
528,1,22,10.0,20000,60.3
529,1,62,6.0,30000,60.3
530,1,40,10.0,30000,60.3
531,0,46,18.0,30000,60.3
532,1,20,13.5,12500,60.3
533,0,49,18.0,20000,60.3
534,0,19,10.0,20000,60.3
535,0,38,8.0,30000,60.3
536,1,30,12.0,4500,60.3
537,1,61,13.5,20000,60.3
538,0,63,13.5,20000,60.3
539,1,60,6.0,4500,60.3
540,0,36,13.5,12500,60.3
541,0,31,12.0,20000,60.3
542,0,18,12.0,500,60.3
543,0,21,12.0,30000,60.3
544,0,17,12.0,20000,60.3
545,0,37,13.5,30000,60.3
546,1,64,12.0,8500,60.3
547,1,20,12.0,12500,60.3
548,0,63,18.0,30000,60.3
549,0,18,12.0,30000,60.3
550,1,21,10.0,5500,60.3
551,1,31,16.0,20000,60.3
552,1,30,10.0,30000,60.3
553,0,30,12.0,6500,60.3
554,1,25,12.0,30000,60.3
555,0,40,16.0,30000,60.3
556,1,64,13.5,8500,60.3
557,1,40,12.0,30000,60.3
558,1,24,18.0,4500,60.3
559,1,32,12.0,30000,60.3
560,1,57,12.0,20000,60.3
561,1,25,12.0,20000,60.3
562,1,20,12.0,5500,60.3
563,0,18,12.0,1500,60.3
564,0,39,15.0,30000,60.3
565,0,43,12.0,30000,60.3
566,0,40,12.0,20000,60.3
567,0,26,12.0,8500,60.3
568,1,24,8.0,5500,60.3
569,1,72,10.0,6500,60.3
570,0,57,10.0,20000,60.3
571,1,33,15.0,20000,60.3
572,0,58,10.0,20000,60.3
573,0,31,12.0,20000,60.3
574,1,21,12.0,30000,60.3
575,0,23,13.5,4500,60.3
576,1,27,10.0,30000,60.3
577,0,59,12.0,30000,60.3
578,1,42,6.0,20000,60.3
579,0,60,12.0,30000,60.3
580,0,76,12.0,6500,60.3
581,1,62,10.0,30000,60.3
582,0,18,12.0,3500,63.0
583,0,65,12.0,20000,63.0
584,0,31,13.5,12500,63.0
585,0,67,12.0,8500,63.0
586,1,29,10.0,12500,63.0
587,0,74,15.0,20000,63.0
588,0,42,12.0,20000,63.0
589,1,56,10.0,20000,63.0
590,1,30,16.0,20000,63.0
591,0,53,13.5,20000,63.0
592,0,31,16.0,30000,63.0
593,0,17,10.0,30000,63.0
594,0,25,13.5,30000,63.0
595,0,36,18.0,30000,63.0
596,1,38,12.0,30000,63.0
597,1,37,12.0,30000,59.7
598,1,22,13.5,20000,59.7
599,0,58,13.5,30000,59.7
600,1,50,6.0,1500,57.3
601,0,33,15.0,20000,57.3
602,0,35,10.0,20000,57.3
603,0,35,10.0,20000,57.3
604,1,70,12.0,12500,57.3
605,0,58,12.0,20000,57.3
606,0,54,12.0,30000,57.3
607,1,23,12.0,20000,57.3
608,0,51,12.0,30000,57.3
609,1,51,8.0,12500,57.3
610,1,56,12.0,20000,57.3
611,1,27,12.0,20000,57.3
612,0,25,12.0,12500,57.3
613,0,72,10.0,8500,57.3
614,1,51,8.0,20000,57.3
615,0,44,16.0,30000,57.3
616,0,72,18.0,12500,57.3
617,1,43,12.0,30000,57.3
618,0,33,12.0,30000,57.3
619,0,67,8.0,6500,57.3
620,1,71,8.0,2500,57.3
621,0,84,13.5,20000,57.3
622,1,41,12.0,30000,57.3
623,1,32,10.0,20000,57.3
624,0,51,8.0,4500,57.3
625,0,46,18.0,20000,57.3
626,0,25,18.0,12500,57.3
627,1,18,12.0,8500,57.3
628,0,58,12.0,30000,57.3
629,1,35,12.0,30000,57.3
630,1,30,12.0,30000,57.3
631,1,31,12.0,12500,57.3
632,0,19,12.0,12500,59.5
633,0,40,12.0,30000,59.5
634,1,45,10.0,12500,59.5
635,0,18,10.0,30000,59.5
636,0,71,18.0,12500,63.1
637,0,61,10.0,20000,63.1
638,1,33,12.0,30000,63.1
639,0,45,18.0,30000,55.3
640,0,36,18.0,30000,55.3
641,1,24,13.5,20000,55.3
642,1,32,16.0,12500,55.3
643,0,58,12.0,20000,66.4
644,1,61,12.0,30000,66.4
645,0,70,16.0,30000,66.4
646,0,55,16.0,30000,66.4
647,1,25,13.5,30000,66.4
648,0,67,6.0,12500,66.4
649,0,38,12.0,20000,66.4
650,0,65,10.0,30000,66.4
651,0,41,13.5,30000,66.4
652,1,29,16.0,30000,66.4
653,0,23,16.0,12500,66.4
654,0,67,6.0,4500,66.4
655,0,32,16.0,12500,66.4
656,1,69,12.0,8500,66.4
657,0,18,10.0,6500,66.4
658,1,50,12.0,20000,66.4
659,1,31,12.0,12500,66.4
660,0,55,12.0,20000,66.4
661,0,39,8.0,12500,66.4
662,0,51,12.0,30000,66.4
663,0,66,8.0,20000,66.4
664,0,73,8.0,8500,66.4
665,1,28,13.5,8500,66.4
666,0,20,15.0,30000,66.4
667,0,60,13.5,20000,66.4
668,0,19,12.0,30000,66.4
669,0,56,18.0,30000,66.4
670,0,23,13.5,12500,66.4
671,1,17,10.0,30000,66.4
672,1,67,6.0,12500,66.4
673,0,53,12.0,30000,66.4
674,1,65,2.5,6500,66.4
675,0,59,12.0,12500,66.4
676,0,35,12.0,20000,66.4
677,1,28,15.0,30000,66.4
678,0,42,12.0,8500,66.4
679,0,27,18.0,30000,66.4
680,0,53,16.0,20000,66.4
681,1,32,12.0,20000,66.4
682,0,33,13.5,20000,66.4
683,0,50,8.0,8500,66.4
684,1,32,12.0,20000,66.4
685,0,31,18.0,20000,66.4
686,0,24,12.0,20000,66.4
687,0,25,16.0,20000,66.4
688,0,56,12.0,8500,66.4
689,1,31,12.0,20000,66.4
690,1,49,10.0,20000,66.4
691,1,25,10.0,30000,66.4
692,0,75,18.0,30000,66.4
693,1,28,13.5,12500,66.4
694,1,25,12.0,8500,62.6
695,0,25,12.0,20000,62.6
696,0,39,18.0,30000,62.6
697,0,84,0.0,4500,64.4
698,0,75,10.0,8500,64.4
699,0,62,8.0,30000,64.4
700,0,36,18.0,30000,64.4
701,0,41,12.0,30000,64.4
702,1,45,10.0,20000,64.4
703,1,23,12.0,20000,64.4
704,0,42,16.0,30000,64.4
705,1,49,12.0,20000,64.4
706,0,64,12.0,12500,64.4
707,1,19,8.0,8500,64.4
708,1,58,12.0,12500,64.4
709,0,24,12.0,20000,64.4
710,0,32,16.0,20000,64.4
711,1,64,8.0,12500,64.4
712,0,60,12.0,4500,64.4
713,0,75,12.0,12500,64.4
714,1,48,12.0,30000,64.4
715,0,29,2.5,12500,64.4
716,1,28,12.0,30000,64.4
717,0,53,12.0,3500,64.4
718,1,23,12.0,30000,64.4
719,1,57,8.0,20000,64.4
720,1,51,12.0,20000,64.4
721,0,64,10.0,20000,64.4
722,1,36,13.5,30000,64.4
723,1,56,12.0,30000,64.4
724,1,38,12.0,3500,64.4
725,0,79,2.5,1500,64.4
726,1,44,12.0,20000,64.4
727,1,25,10.0,3500,64.4
728,1,50,18.0,30000,64.4
729,1,24,12.0,12500,64.4
730,0,17,10.0,20000,64.4
731,0,23,16.0,20000,64.4
732,0,50,13.5,12500,64.4
733,0,18,12.0,30000,64.4
734,1,31,10.0,12500,64.4
735,0,30,18.0,20000,64.4
736,0,68,13.5,30000,64.4
737,0,26,12.0,20000,64.4
738,1,47,6.0,12500,64.4
739,0,62,15.0,12500,64.4
740,0,19,12.0,20000,64.4
741,0,57,10.0,12500,64.4
742,0,63,16.0,30000,64.4
743,0,30,16.0,30000,64.4
744,1,34,12.0,20000,64.4
745,1,34,18.0,30000,64.4
746,1,38,13.5,20000,64.4
747,0,34,12.0,20000,64.4
748,0,43,13.5,12500,64.4
749,0,58,16.0,30000,64.4
750,1,45,13.5,30000,64.4
751,1,23,13.5,12500,64.4
752,1,28,16.0,20000,64.4
753,0,48,10.0,20000,64.4
754,0,28,16.0,20000,64.4
755,1,24,12.0,8500,64.4
756,1,35,8.0,12500,64.4
757,1,26,13.5,12500,64.4
758,0,27,18.0,30000,64.4
759,0,50,16.0,30000,64.4
760,0,59,10.0,12500,64.4
761,1,56,10.0,20000,64.4
762,1,59,10.0,20000,64.4
763,1,28,8.0,12500,64.4
764,0,51,12.0,20000,64.4
765,1,58,13.5,20000,64.4
766,1,47,16.0,30000,64.4
767,1,20,12.0,30000,64.4
768,0,33,12.0,12500,64.4
769,0,56,13.5,12500,64.4
770,0,36,15.0,30000,64.4
771,0,38,13.5,20000,64.4
772,1,52,16.0,20000,64.4
773,1,45,15.0,20000,64.4
774,1,22,12.0,12500,64.4
775,0,19,12.0,2500,64.4
776,1,36,6.0,6500,64.4
777,1,71,2.5,8500,64.4
778,1,42,13.5,30000,64.4
779,1,54,13.5,30000,64.4
780,0,70,10.0,6500,64.4
781,0,61,13.5,30000,64.4
782,0,60,12.0,30000,64.4
783,0,17,10.0,12500,64.4
784,0,40,18.0,30000,64.4
785,0,58,10.0,20000,64.4
786,1,26,10.0,20000,64.4
787,1,39,13.5,20000,64.4
788,0,32,12.0,30000,64.4
789,1,55,10.0,20000,64.4
790,0,42,18.0,30000,64.4
791,0,20,12.0,6500,64.4
792,0,61,10.0,30000,64.4
793,0,41,12.0,12500,64.4
794,0,49,10.0,12500,64.4
795,0,36,16.0,20000,64.4
796,0,58,12.0,12500,64.4
797,0,52,6.0,20000,64.4
798,0,38,15.0,20000,64.4
799,1,28,12.0,6500,64.4
800,1,54,12.0,12500,64.4
801,0,60,16.0,4500,64.4
802,0,35,12.0,20000,64.4
803,0,62,12.0,12500,64.4
804,1,32,12.0,20000,64.4
805,0,37,0.0,20000,64.4
806,0,29,13.5,20000,64.4
807,0,18,10.0,20000,64.4
808,0,52,6.0,20000,64.4
809,1,18,8.0,8500,64.4
810,1,27,12.0,30000,64.4
811,0,25,13.5,20000,64.4
812,0,53,10.0,30000,64.4
813,0,81,8.0,12500,64.4
814,0,27,18.0,20000,64.4
815,0,38,13.5,30000,64.4
816,0,38,15.0,30000,64.4
817,0,33,13.5,12500,64.4
818,0,64,10.0,8500,64.4
819,1,17,10.0,12500,64.4
